ppd_id,PlanName,fy,system_id,FiscalYearType,PlanInceptionYear,PlanClosed,PlanYearClosed,AdministeringGovt,StateAbbrev,StateName,GovtName,PlanType,EmployerType,CostSharing,EEGroupID,TierID,fye,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,BlendedDiscountRate,MktAssets_Smooth,ActAssets_Smooth,NetFlows_smooth,PayrollGrowthAssumption,WageInflation,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,ActLiabilities_other,payroll,RequiredContribution,PercentReqContPaid,TotalPensionLiability,NetPosition,NetPensionLiability,ActAssets_est,ActLiabilities_est,ActFundedRatio_est,ActFundedRatio_GASB67,InvestmentReturn_1yr,InvestmentReturn_3yr,InvestmentReturn_5yr,InvestmentReturn_10yr,GeoReturn_est,GeoGrowth_est,AvgReturn_3yr,AvgReturn_5yr,AvgReturn_10yr,contrib_tot,FairValueChange_investments,income_InterestAndDividends
1,Alabama ERS,2001,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2001,0.045,0.08,,,,,0.045,,8028471,8010123,1.002,-18348,0,2408543,122483,1,,,,0,0,0,,-0.0636,0.0502,0.0807,,-0.0636,0,,,,254721,-874433,343517
1,Alabama ERS,2002,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2002,0.045,0.08,,,,,0.045,,8100846,8493469,0.954,392623,0,2547775,123887,1,,,,0,0,0,,-0.0929,-0.0232,0.0288,,-0.07837,0,,,,275108,-953188,297845
1,Alabama ERS,2003,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2003,0.045,0.08,,,,,,,8312500,9124279,0.911,811779,0,2677025,154218,1,,,,0,0,0,,0.1648,-0.0035,0.0412,0.0755,-0.00355,0,0.003,,,316502,668539,271698
1,Alabama ERS,2004,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2004,0.045,0.08,,,,,0.045,,8563945,9546478,0.897,982533,0,2702393,170713,1,,,,0,0,0,,0.1006,0.0541,0.0377,0.0851,0.02153,0,0.058,,,339261,457981,268876
1,Alabama ERS,2005,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2005,0.045,0.08,,,,,0.045,,8935358,10634976,0.84,1699618,0,2982122,195846,1,,,,0,0,0,,0.1098,0.1274,0.0401,0.0778,0.0386,0,0.125,0.044,,356159,545826,295631
1,Alabama ERS,2006,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2006,0.045,0.08,,,,,0.045,,9287531,11457564,0.811,2170033,0,3070146,241750,1,,,,0,0,0,,0.0837,0.098,0.071,0.0758,0.04598,0,0.098,0.073,,428876,375025,329459
1,Alabama ERS,2007,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2007,0.045,0.08,,,,,0.045,,9770897,12370342,0.79,2599445,0,3389156,277254,1,,,,0,0,0,,0.1792,0.1235,0.1286,0.0727,0.06405,0,0.124,0.128,,461394,1249495,347272
1,Alabama ERS,2008,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2008,0.045,0.08,,,,,0.045,,9905766,13078687,0.757,3172921,0,3553330,329339,1,,,,0,0,0,,-0.1521,0.0271,0.0576,0.0502,0.03427,0,0.037,0.064,,520993,-1919746,339578
1,Alabama ERS,2009,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2009,0.045,0.08,,,,,0.045,,9928104,13756176,0.722,3828072,0,3620243,451139,1,,,,0,0,0,,-0.1003,-0.0347,0.0159,0.0267,0.01838,0,-0.024,0.024,,661420,-1180523,285022
1,Alabama ERS,2010,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2010,0.045,0.08,,,,,0.045,,9739331,14284119,0.682,4544788,0,3619670,377898,1,,,,0,0,0,,0.0847,-0.0612,0.0112,0.0256,0.02482,0,-0.056,0.019,0.031,574656,427365,268667
1,Alabama ERS,2011,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2011,0.03,0.08,,,,,0.0325,0.0325,9456158,14366796,0.658,4910638,0,3540681,394998,1,,,,0,0,0,,0.0221,-0.0009,-0.0006,0.0346,0.02458,0,0.002,0.007,0.04,590707,-112758,307152
1,Alabama ERS,2012,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2012,0.03,0.08,,9116551.305,9116551.305,-372620.296,0.0325,0.0325,9116551,13884995,0.657,4768444,0,3252003,317520,1,,,,0,0,0,,0.1801,0.0937,-0.0004,0.0622,0.03671,0,0.096,0.007,0.067,534390,1114737,310748
1,Alabama ERS,2013,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2013,0.03,0.08,,10012966.73,9546458.563,-404298.578,0.0325,0.0325,9546459,14536600,0.657,4990141,0,3400596,338819,1,,,,0,0,0,,0.146,0.114,0.0617,0.0597,0.04474,0,0.116,0.067,0.065,562465,984714,310200
1,Alabama ERS,2014,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2014,0.03,0.08,0.08,10803109.97,10134581.26,-393234.668,0.0325,0.0325,10134581,15138294,0.669,5003713,0,3444341,391181,1,15525291,10803110,4722181,0,0,0,0.69584,0.1202,0.1485,0.1093,0.0615,0.04995,0,0.149,0.111,0.067,617197,888303,298049
1,Alabama ERS,2015,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2015,0.03,0.08,0.08,10485255.75,10589258.42,-448240.411,0.0325,0.0325,10589258,15723720,0.673,5134462,0,3488017,410932,1,15961667,10551904,5409763,0,0,0,0.66108,0.0105,0.0906,0.0937,0.0516,0.04728,0,0.092,0.096,0.057,640186,-186154,311516
1,Alabama ERS,2016,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2016,0.02875,0.07875,0.0775,11108437.32,11082279.64,-432210.599,0.03125,0.03125,11082279.64,16728009,0.662,5645728.918,0,3572891,435243,1,16960380,11177074,5783306,0,0,0,0.65901,0.1022,0.0765,0.1103,0.0534,0.05063,0,0.078,0.112,0.059,673115,753836,297369
1,Alabama ERS,2017,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2017,0.0275,0.0775,0.0775,12052185.6,11690951.51,-462392.173,0.03,0.03,11690952,17250835,0.678,5559883,0,3584700,426369,1,17390739,12122471,5268268,0,0,0,0.69707,0.1286,0.0792,0.1004,0.0488,0,0,0.08,0.102,0.054,660116,1098859,302295
1,Alabama ERS,2018,1,1,1945,0,,0,AL,Alabama,Alabama,1,2,0,0,0,9/30/2018,0.0275,0.0775,0.0775,,,,,,11690952,17250835,0.678,5559883,0,3692241,426340,1,17861887,12720352,5141535,0,0,0,0.71215,0.0929,0.1078,0.09,0.0758,0,0,0.108,0.091,0.079,668081,775132,323182
2,Alabama Teachers,2001,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2001,0.045,0.08,,,,,0.045,,17475298,17238616,1.014,-236682,0,4305080,279880,1,,,,0,0,0,,-0.0605,0.05,0.0794,,-0.0605,0,,,,510498,-1860162,769739
2,Alabama Teachers,2002,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2002,0.045,0.08,,,,,0.045,,17904881,18374174,0.974,469293,0,4379183,265670,1,,,,0,0,0,,-0.0781,-0.0179,0.0314,,-0.06934,0,,,,501396,-1915592,672200
2,Alabama Teachers,2003,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2003,0.045,0.08,,,,,0.045,,18110470,19357735,0.936,1247265,0,4632611,235786,1,,,,0,0,0,,0.1598,0.0015,0.0436,0.0765,0.00151,0,0.007,,,487804,1412887,592645
2,Alabama Teachers,2004,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2004,0.045,0.08,,,,,0.045,,18704009,20886190,0.896,2182181,0,4846677,312474,1,,,,0,0,0,,0.1071,0.06,0.0412,0.0861,0.02692,0,0.063,,,566334,1055525,580000
2,Alabama Teachers,2005,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2005,0.045,0.08,,,,,0.045,,19248207,23027338,0.836,3779131,0,5326408,347862,1,,,,0,0,0,,0.1126,0.1286,0.0448,0.0792,0.04351,0,0.127,0.048,,610718,1221059,624397
2,Alabama Teachers,2006,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2006,0.045,0.08,,,,,0.045,,19821133,23945100,0.828,4123967,0,5458443,434195,1,,,,0,0,0,,0.0882,0.1026,0.076,0.0777,0.05083,0,0.103,0.078,,715650,878743,703189
2,Alabama Teachers,2007,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2007,0.045,0.08,,,,,0.045,,20650916,25971534,0.795,5320618,0,6310616,540847,1,,,,0,0,0,,0.1746,0.1246,0.1294,0.0742,0.06768,0,0.125,0.128,,845933,2589858,719910
2,Alabama Teachers,2008,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2008,0.045,0.08,,,,,0.045,,20812477,26804117,0.776,5991640,0,6294341,729995,1,,,,0,0,0,,-0.1536,0.0266,0.0591,0.052,0.03713,0,0.036,0.066,,1056999,-4057823,705555
2,Alabama Teachers,2009,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2009,0.045,0.08,,,,,0.045,,20582348,27537400,0.747,6955052,0,6236922,753518,1,,,,0,0,0,,-0.0794,-0.0291,0.0207,0.0309,0.02349,0,-0.019,0.028,,1077224,-2083048,580656
2,Alabama Teachers,2010,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2010,0.045,0.08,,,,,0.045,,20132779,28299523,0.711,8166744,0,6183204,776421,1,,,,0,0,0,,0.0842,-0.0547,0.0155,0.03,0.0294,0,-0.05,0.023,0.035,1097824,886997,559941
2,Alabama Teachers,2011,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2011,0.03,0.08,,,,,0.0325,0.0325,19430135,28776316,0.675,9346181,0,6159562,779644,1,,,,0,0,0,,0.0181,0.0053,0.002,0.0383,0.02837,0,0.008,0.009,0.043,1102840,-278407,624546
2,Alabama Teachers,2012,1,1,1939,0,,0,AL,Alabama,Alabama,2,2,1,0,0,9/30/2012,0.03,0.08,,18786008.96,18786008.96,-809392.406,0.0325,0.0325,18786008,28251367,0.665,9465359,0,6222316,618306,1,,,,0,0,0,,0.183,0.093,0.0035,0.0646,0.04044,0,0.095,0.01,0.069,1076840,2349955,634695
