,StateAbbrev,State,State_FIPS_Code,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,PctFunded,InvestmentReturn_5yr,InvestmentReturn_10yr,InvestmentReturnAssumption_GASB,5yr_Return_Pct,10yr_Return_Pct,Return_Assumption_Pct,5_yr_return_gap,10_yr_return_gap
0,AK,Alaska,2,14706538,21049655,0.6986593366969672,69.87,0.09255,0.04999,0.08,9.25,5.0,8.0,1.25,-3.0
1,AL,Alabama,1,35578029,51938913,0.6849975662755976,68.5,0.09995000000000001,0.049600000000000005,0.0775,10.0,4.96,7.75,2.25,-2.79
2,AR,Arkansas,5,24288000,30808443,0.788355321948597,78.84,0.10225000000000001,0.057275,0.07325,10.23,5.73,7.32,2.91,-1.5899999999999999
3,AZ,Arizona,4,45665217,71392080,0.6396398171898059,63.96,0.085,0.0452,0.0735,8.5,4.52,7.35,1.1500000000000004,-2.83
4,CA,California,6,567755530,824961272,0.6882208283833232,68.82,0.09283333333333332,0.04783333333333334,0.07416666666666666,9.28,4.78,7.42,1.8599999999999994,-2.6399999999999997
5,CO,Colorado,8,42045868,69874232,0.6017363883155095,60.17,0.09500000000000001,0.06,0.0725,9.5,6.0,7.25,2.25,-1.25
6,CT,Connecticut,9,32494339,66536270,0.48837031291354327,48.84,0.08486666666666669,0.04856666666666667,0.07716666666666668,8.49,4.86,7.72,0.7700000000000005,-2.8599999999999994
7,DE,Delaware,10,8688641,10044583,0.8650076364543954,86.5,0.083,0.061,0.07,8.3,6.1,7.0,1.3000000000000007,-0.9000000000000004
8,FL,Florida,12,150593242,178579116,0.8432858520813823,84.33,0.0951,0.0546,0.075,9.51,5.46,7.5,2.01,-2.04
9,GA,Georgia,13,84300845,113495929,0.7427653638572358,74.28,0.0945,0.0615,0.07450000000000001,9.45,6.15,7.45,1.9999999999999991,-1.2999999999999998
10,HI,Hawaii,15,15720600,28648600,0.5487388563490013,54.87,0.0648,0.03909,0.07,6.48,3.91,7.0,-0.5199999999999996,-3.09
11,IA,Iowa,19,32933585,40463753,0.8139033717411235,81.39,0.08875,0.05395,0.07250000000000001,8.88,5.4,7.25,1.6300000000000008,-1.8499999999999996
12,ID,Idaho,16,15296700,17063300,0.8964678579172844,89.65,0.086,0.053,0.075,8.6,5.3,7.5,1.0999999999999996,-2.2
13,IL,Illinois,17,123808525,253638230,0.4881303776642819,48.81,0.09325,0.05355,0.07187500000000001,9.32,5.36,7.19,2.13,-1.83
14,IN,Indiana,18,26464153,42757221,0.6189399680582609,61.89,0.057,0.028999999999999998,0.0675,5.7,2.9,6.75,-1.0499999999999998,-3.85
15,KS,Kansas,20,18256373,27317754,0.6682969983549892,66.83,0.09699999999999999,0.057,0.0775,9.7,5.7,7.75,1.9499999999999993,-2.05
16,KY,Kentucky,21,30248613,66985505,0.45156952985575016,45.16,0.08750000000000001,0.053366666666666666,0.06333333333333334,8.75,5.34,6.33,2.42,-0.9900000000000002
17,LA,Louisiana,22,39139121,58019099,0.6745902931033106,67.46,0.09302200000000001,0.054526,0.0737,9.3,5.45,7.37,1.9300000000000006,-1.92
18,MA,Massachusetts,25,50411178,87510222,0.5760604515435922,57.61,0.0979,0.051,0.075,9.79,5.1,7.5,2.289999999999999,-2.4000000000000004
19,MD,Maryland,24,47440760,65778815,0.721216397711026,72.12,0.076,0.042,0.075,7.6,4.2,7.5,0.09999999999999964,-3.3
20,ME,Maine,23,13513888,16501547,0.8189467326911835,81.89,0.084,0.049,0.06875,8.4,4.9,6.88,1.5200000000000005,-1.9799999999999995
21,MI,Michigan,26,68684071,108669025,0.6320482860686383,63.2,0.09756666666666668,0.05753333333333333,0.07525,9.76,5.75,7.52,2.24,-1.7699999999999996
22,MN,Minnesota,27,61184617,76751782,0.7971751978344945,79.72,0.102,0.062,0.081175,10.2,6.2,8.12,2.08,-1.919999999999999
