RecordDateGoldProdCosts,NewmontGoldAllinSustainingCosts,BarrickGoldAllinSustainingCosts,AverageAllinSustainingCosts,GoldCashCostsBarrick,BarrickGoldFilingDate
12/31/1998,,,,180,3/25/1999
12/31/1999,,,,134,3/25/2000
12/31/2000,,,,145,3/25/2001
12/31/2001,,,,162,3/25/2002
12/31/2002,,,,177,3/25/2003
12/31/2003,,,,189,3/25/2004
12/31/2004,,,,214,3/25/2005
12/31/2005,,,,227,3/25/2006
12/31/2006,,,,282,3/25/2007
12/31/2007,,,,345,3/25/2008
12/31/2008,,,,443,3/25/2009
12/31/2009,,,,466,3/25/2010
12/31/2010,,649,,649,3/25/2011
12/31/2011,1062,752,907,752,3/25/2012
12/31/2012,1177,945,1061,945,3/25/2013
12/31/2013,1104,915,1009.5,566,3/25/2014
12/31/2014,996,864,930,598,3/25/2015
12/31/2015,933,831,882,596,3/25/2016
12/31/2016,912,730,821,546,3/25/2017
12/31/2017,890,750,820,526,3/25/2018
12/31/2018,909,806,857.5,588,3/25/2019
12/31/2019,966,894,930,671,3/25/2020
6/30/2020,1061,1031,1046,716,8/10/2020
